description,name,PONAME,ZIP,latitude,POP2001,STATE,AREA,zip2,longitude,SUMBLKPOP,geometry
,Zip:,ANACORTES,98221,48.5095,18991,WA,59.73131,98221,-122.665,18721,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.516755,48.458537 -122.702061,48.497578 -122.554696,48.44479 -122.515655,48.455788</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,ARLINGTON,98223,48.2068,36244,WA,339.83283,98223,-121.951,35260,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.098304,48.06538 -122.046616,48.093973 -121.667755,48.124766 -121.636413,48.298525 -121.935542,48.297975 -122.226423,48.297425 -122.265464,48.139063 -122.11205,48.091774 -122.111501,48.071979</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,BARING,98224,47.7416,296,WA,53.15852,98224,-121.474,293,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-121.584725,47.704115 -121.377424,47.779998 -121.506644,47.777798 -121.584725,47.776698 -121.590224,47.706865</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,BELLINGHAM,98225,48.7527,42932,WA,12.46421,98225,-122.501,42279,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.507957,48.69828 -122.463417,48.770863 -122.564044,48.779111</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,BELLINGHAM,98226,48.765,57521,WA,166.73211,98226,-122.421,56432,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.488711,48.645493 -122.344645,48.618549 -122.332548,48.620199 -122.268214,48.707628 -122.262165,48.709278 -122.276462,48.839597 -122.442522,48.86984 -122.507957,48.887986 -122.66357,48.793408 -122.650373,48.715326 -122.564044,48.779111 -122.463417,48.770863 -122.507957,48.69828</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,BLAINE,98230,48.9481,11279,WA,45.94954,98230,-122.705,10773,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.551946,48.983663 -122.550847,49.002359 -122.794989,48.976515 -122.737253,48.857743 -122.691064,48.922627</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,BOW,98232,48.5608,3468,WA,56.37318,98232,-122.413,3443,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.344645,48.618549 -122.488711,48.645493 -122.457369,48.555864 -122.558545,48.57456 -122.476064,48.519023 -122.444722,48.486581</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,BURLINGTON,98233,48.5049,12820,WA,32.06262,98233,-122.343,12549,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.344645,48.618549 -122.444722,48.486581 -122.280311,48.475033 -122.332548,48.620199</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,CLINTON,98236,47.9582,5445,WA,23.08262,98236,-122.405,5343,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.377088,47.905368 -122.370489,47.997196 -122.481013,47.996096</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,CONCRETE,98237,48.4496,4274,WA,533.14124,98237,-121.456,4087,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-121.001313,48.295776 -121.062898,48.459637 -121.419214,48.518473 -121.4808,48.420046 -121.603971,48.486581 -121.449457,48.527271 -121.514892,48.642194 -121.729891,48.643293 -121.930593,48.516274 -121.636963,48.408499 -121.636413,48.298525</coordinates></LinearRing></outerBoundaryIs></Polygon>"
