"Zip Code","Neighborhood","Sci-Fi","Fantasy","Programming","Geek Media","ALL","Facebook Population","Census Population","% of pop (census)","% of pop (fb)","Sci-Fi %","Fantasy %","Programming %","Geek Media %"
98144,"Beacon Hill",1040,420,160,380,1540,16200,26881,0.06,0.1,0.06,0.03,0.01,0.02
98146,"West Seattle",620,320,100,180,1040,9100,25922,0.04,0.11,0.07,0.04,0.01,0.02
98148,"Burien",1960,1080,340,420,3200,40180,10010,0.32,0.08,0.05,0.03,0.01,0.01
98155,"North Seattle",900,540,100,220,1480,12280,32778,0.05,0.12,0.07,0.04,0.01,0.02
98166,"Burien",540,280,80,140,920,9460,20301,0.05,0.1,0.06,0.03,0.01,0.01
98168,"Tukwila",800,420,160,220,1280,15080,33734,0.04,0.08,0.05,0.03,0.01,0.01
98177,"North Seattle",340,140,40,100,500,4800,19030,0.03,0.1,0.07,0.03,0.01,0.02
98178,"Renton",540,180,80,100,740,8720,24092,0.03,0.08,0.06,0.02,0.01,0.01
98188,"Tukwila",1040,540,200,0,1780,20960,23111,0.08,0.08,0.05,0.03,0.01,0.0
98198,"Burien",640,400,80,160,1100,11900,34584,0.03,0.09,0.05,0.03,0.01,0.01
98199,"Magnolia",800,300,160,320,1320,11280,19686,0.07,0.12,0.07,0.03,0.01,0.03
